Project Ref,"Calculation Design
200,Stage 5,LN6,753,2.5,Whole Building,Educational,New Build (Brownfield),3,No,None,Mass Pads/Strips,Suspended RC,Steel Frame/Composite,Lightweight/SFS,130534,165070,181764,163159,173.4,219.2,241.4,216.7,17500,0.106,356860,59314,0.359,0,0,0.0,5199,11070,0.067,8250,25610,0.155,6540,10452,0.063,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
201,Stage 4,OX33,365,1.0,Whole Building,Educational,New Build (Brownfield),2,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Timber,Masonry Only,67439,81843,88535,75525,184.8,224.2,242.6,206.9,7000,0.086,252500,27736,0.339,0,0,0.0,6800,14479,0.177,0,0,0.0,15700,25090,0.307,6100,3032,0.037,4600,4506,0.055,0,0,1,0,0,0,0,0,0,0
202,Stage 3,W1,1900,3.0,Structure Only,Commercial,Mixed New Build/Refurb,6,No,Full Footprint,Piles (Pile Caps),Suspended RC,Steel Frame/Composite,Masonry Only,409999,479136,497645,402768,215.8,252.2,261.9,212.0,42000,0.088,859745,114750,0.239,0,0,0.0,76816,163568,0.341,0,0,0.0,98230,156984,0.328,3691,1835,0.004,0,0,0.0,1,0,0,0,0,0,0,0,0,0
203,Stage 5,W8,854,3.5,Whole Building,Commercial,New Build (Brownfield),6,No,Full Footprint,Raft,Suspended RC,Concrete (In-Situ),Masonry/SFS,228613,273639,291038,236555,267.7,320.4,340.8,277.0,24500,0.09,954819,100713,0.368,0,0,0.0,67691,144136,0.527,0,0,0.0,2414,3858,0.014,867,431,0.002,0,0,0.0,1,0,0,0,0,0,0,0,0,0
205,Stage 4,W3,631,1.2,Whole Building,Educational,New Build (Brownfield),1,No,None,Piles (Pile Caps),Suspended RC,Steel Frame/Composite,Masonry Only,181688,203413,213319,189465,287.9,322.4,338.1,300.3,8400,0.041,728600,97565,0.48,0,0,0.0,0,0,0.0,4733,14691,0.072,51785,82758,0.407,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
206,Stage 3,N15,3760,10.0,Whole Building,Residential (Multi),New Build (Greenfield),9,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1217469,1392962,1457609,1195774,323.8,370.5,387.7,318.0,70000,0.05,4782155,617222,0.443,0,0,0.0,331437,705740,0.507,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
207,Stage 4,WD19,313,0.8,Whole Building,Residential (Single),New Build (Brownfield),3,No,Partial Footprint,Raft,Other,Steel Frame/Other,Masonry/SFS,67272,77872,82269,68856,214.9,248.8,262.8,220.0,5600,0.072,177852,22759,0.292,0,0,0.0,5745,12233,0.157,666,2067,0.027,20273,32398,0.416,3533,1251,0.016,1596,1563,0.02,0,0,0,0,0,0,0,0,1,0
208,Stage 2,SN3,702,4.0,Whole Building,Industrial,New Build (Brownfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Other,Precast/GRC,154200,223070,262536,220784,219.7,317.8,374.0,314.5,28000,0.126,564000,75583,0.339,0,0,0.0,7856,16728,0.075,0,0,0.0,20275,32402,0.145,126611,62938,0.282,6653,6516,0.029,0,0,0,0,1,0,0,0,0,0
209,Stage 2,SN3,6725,21.0,Whole Building,Industrial,New Build (Brownfield),1,Yes,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Other,Precast/GRC,1891735,2329869,2580854,2208864,281.3,346.4,383.8,328.5,147000,0.063,7653600,1026049,0.44,0,0,0.0,66646,141912,0.061,58661,182096,0.078,311515,497837,0.214,612521,304484,0.131,20000,19590,0.008,0,0,0,0,1,0,0,0,0,0
210,Stage 3,UB3,1456,5.2,Whole Building,Cultural/Public,New Build (Brownfield),3,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Precast,Precast/GRC,360655,433668,453071,401690,247.7,297.8,311.2,275.9,36400,0.084,919740,206116,0.475,0,0,0.0,20529,43712,0.101,0,0,0.0,92259,147440,0.34,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
213,Stage 5,NW6,520,1.6,Whole Building,Residential (Single),Full Refurb,4,No,Full Footprint,Reinforced Pads/Strips,Ground Bearing RC,Concrete (Precast),Masonry Only,155184,179077,186410,151549,298.4,344.4,358.5,291.4,11200,0.063,441899,62083,0.347,0,0,0.0,31400,66861,0.373,2341,7267,0.041,18280,29214,0.163,1990,989,0.006,1493,1462,0.008,0,0,0,0,0,0,0,0,1,0
215,Stage 3,TW3,3920,10.0,Whole Building,Mixed Use,New Build (Brownfield),9,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1065336,1228750,1289985,1095675,271.8,313.5,329.1,279.5,70000,0.057,4690950,628153,0.511,0,0,0.0,241629,514509,0.419,0,0,0.0,10067,16088,0.013,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0
216,Stage 5,OX11,2850,6.7,Whole Building,Science/Lab,Full Refurb,4,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Masonry/SFS,446844,521519,542979,438866,156.8,183.0,190.5,154.0,46900,0.09,743025,87981,0.169,0,0,0.0,21560,45908,0.088,22000,68292,0.131,170250,272079,0.522,720,358,0.001,0,0,0.0,0,0,0,0,0,0,0,0,0,1
217,Stage 3,LS23,394,1.5,Whole Building,Other,Mixed New Build/Refurb,8,No,None,Reinforced Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Glazed/Curtain Wall,58843,76966,83966,73174,149.3,195.3,213.1,185.7,10500,0.136,236330,30920,0.402,0,0,0.0,5062,10779,0.14,0,0,0.0,6249,9987,0.13,0,0,0.0,21709,14781,0.192,0,0,0,0,0,0,1,0,0,0
218,Stage 3,LS23,3710,13.0,Whole Building,Industrial,New Build (Brownfield),1,Yes,None,Reinforced Pads/Strips,Ground Bearing RC,Steel Frame/Other,Lightweight Only,1825845,2016460,2073196,1663081,492.1,543.5,558.8,448.3,91000,0.045,2854560,364276,0.181,0,0,0.0,231384,492693,0.244,0,0,0.0,668595,1068492,0.53,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0
219,Stage 3,LS23,1501,4.0,Whole Building,Industrial,New Build (Brownfield),1,Yes,None,Mass Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Lightweight Only,409327,535383,574913,448798,272.7,356.7,383.0,299.0,28000,0.052,1435200,150830,0.282,0,0,0.0,33963,72319,0.135,0,0,0.0,0,0,0.0,0,0,0.0,461783,284234,0.531,0,0,0,0,1,0,0,0,0,0
220,Stage 4,W1,6807,25.0,Whole Building,Commercial,Mixed New Build/Refurb,9,No,Full Footprint,Reinforced Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Glazed/Curtain Wall,869952,1102925,1149232,952978,127.8,162.0,168.8,140.0,175000,0.159,1769016,236884,0.215,0,0,0.0,73709,156951,0.142,36988,114818,0.104,262354,419272,0.38,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
221,Stage 4,GU35,950,2.0,Whole Building,Residential (Single),New Build (Greenfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Timber Frame (Softwood),Stone,166857,213749,260229,216728,175.6,225.0,273.9,228.1,14000,0.065,791582,89524,0.419,0,0,0.0,8558,18223,0.085,0,0,0.0,9501,15184,0.071,117421,43173,0.202,38436,33644,0.157,0,0,0,0,0,0,0,0,1,0
222,Stage 5,CB1,420,3.4,Whole Building,Residential (Single),Full Refurb,3,No,None,Reinforced Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Masonry Only,98653,129382,134581,116655,234.9,308.1,320.4,277.7,23800,0.184,294723,37335,0.289,0,0,0.0,4787,10193,0.079,2635,8180,0.063,30770,49174,0.38,480,239,0.002,472,462,0.004,0,0,0,0,0,0,0,0,1,0
223,Stage 4,OX29,286,4.0,Whole Building,Cultural/Public,New Build (Greenfield),4,No,Full Footprint,Raft,Raft,Steel Frame/Timber,Timber/SFS,102863,141849,148403,123333,359.7,496.0,518.9,431.2,28000,0.197,354922,46341,0.327,0,0,0.0,20294,43213,0.305,4416,13708,0.097,2846,4548,0.032,4888,2430,0.017,5536,3609,0.025,0,1,0,0,0,0,0,0,0,0
224,Stage 3,YO26,3655,18.5,Whole Building,Cultural/Public,New Build (Brownfield),2,No,None,Piled Ground Beams,Suspended RC,Timber Frame (Glulam/CLT),Masonry/Timber,806600,1033958,1113928,965157,220.7,282.9,304.8,264.1,129500,0.125,3451300,430762,0.417,0,0,0.0,106199,226133,0.219,3364,10443,0.01,89079,142358,0.138,83719,41617,0.04,56497,53145,0.051,0,1,0,0,0,0,0,0,0,0
225,Stage 5,LE67,2938,4.5,Whole Building,Industrial,New Build (Brownfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Other,Lightweight Only,579629,657235,696477,597240,197.3,223.7,237.1,203.3,31500,0.048,2462472,285571,0.435,0,0,0.0,63444,135093,0.206,8320,25827,0.039,112160,179245,0.273,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0
226,Stage 5,LE11,2007,7.0,Whole Building,Educational,New Build (Brownfield),4,No,None,Piles (Pile Caps),Ground Bearing RC,Concrete (In-Situ),Masonry Only,573338,673908,708387,613678,285.7,335.8,353.0,305.8,49000,0.073,2759376,369633,0.548,0,0,0.0,119885,255275,0.379,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
227,Stage 5,RG9,92,0.2,Whole Building,Residential (Single),New Build (Greenfield),1,No,None,Reinforced Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Timber Only,13709,20634,26357,21891,149.0,224.3,286.5,237.9,1400,0.068,70512,8826,0.428,0,0,0.0,275,586,0.028,0,0,0.0,0,0,0.0,19761,9823,0.476,0,0,0.0,0,0,0,0,0,0,0,0,1,0
228,Stage 4,SW15,890,2.2,Whole Building,Mixed Use,Mixed New Build/Refurb,4,No,Partial Footprint,Reinforced Pads/Strips,Other,Steel Frame/Timber,Masonry Only,59037,78331,84441,72526,66.3,88.0,94.9,81.5,15400,0.197,101487,13651,0.174,0,0,0.0,542,1153,0.015,679,2108,0.027,26537,42409,0.541,5658,2004,0.026,1639,1606,0.02,0,0,0,0,0,1,0,0,0,0
229,Stage 3,OX25,463,2.0,Whole Building,Cultural/Public,Full Refurb,1,No,None,Mass Pads/Strips,Ground Bearing RC,Masonry/Timber,Stone,11962,31450,36071,33899,25.8,67.9,77.9,73.2,14000,0.445,16240,1244,0.04,0,0,0.0,0,0,0.0,0,0,0.0,1769,2827,0.09,4163,2085,0.066,3139,3075,0.098,0,1,0,0,0,0,0,0,0,0
230,As-Built,DA8,2330,6.5,Whole Building,Industrial,New Build (Brownfield),1,No,None,Piles (Pile Caps),Suspended RC,Steel Frame/Other,Lightweight Only,803994,913283,961515,836646,345.1,392.0,412.7,359.1,45500,0.05,3585916,439414,0.481,0,0,0.0,100103,213153,0.233,0,0,0.0,134669,215216,0.236,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0
231,Stage 3,W6,664,6.0,Whole Building,Educational,Full Refurb,3,No,None,Reinforced Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Lightweight Only,96634,154036,163576,140785,145.5,232.0,246.3,212.0,42000,0.273,442037,45937,0.298,0,0,0.0,13398,28529,0.185,0,0,0.0,4184,6687,0.043,0,0,0.0,50156,30884,0.2,0,0,1,0,0,0,0,0,0,0
232,Stage 3,NW6,3739,5.6,Structure Only,Commercial,New Build (Brownfield),5,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1155123,1335601,1400473,1188317,308.9,357.2,374.6,317.8,78400,0.059,5118194,685364,0.513,0,0,0.0,268552,571837,0.428,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
233,Stage 3,NW6,6127,9.2,Structure Only,Residential (Multi),New Build (Brownfield),5,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1688219,1968148,2069012,1781505,275.5,321.2,337.7,290.8,128800,0.065,7948800,1064403,0.541,0,0,0.0,363925,774917,0.394,0,0,0.0,17,27,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
234,Stage 2,OX11,370,3.8,Whole Building,Science/Lab,New Build (Greenfield),2,No,None,Reinforced Pads/Strips,Ground Bearing RC,Other,Other,182832,222693,230625,196935,494.1,601.9,623.3,532.3,26600,0.119,607500,82280,0.369,0,0,0.0,28120,59877,0.269,0,0,0.0,33750,53936,0.242,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
235,Stage 4,NW4,1500,3.8,Whole Building,Residential (Multi),New Build (Brownfield),5,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,440980,506585,531667,451087,294.0,337.7,354.4,300.7,26600,0.053,1962500,262793,0.519,0,0,0.0,102000,217192,0.429,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
236,Stage 3,NW4,2202,5.0,Whole Building,Residential (Multi),New Build (Brownfield),7,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,707826,803003,837613,682664,321.4,364.7,380.4,310.0,35000,0.044,2583493,350360,0.436,0,0,0.0,196138,417643,0.52,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
237,Stage 4,OX17,140,1.0,Whole Building,Commercial,Full Refurb,1,No,None,Other,Other,Other,Other,4209,11827,12859,11609,30.1,84.5,91.8,82.9,7000,0.592,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2325,3716,0.314,1943,966,0.082,195,145,0.012,1,0,0,0,0,0,0,0,0,0
238,As-Built,OX11,240,1.0,Whole Building,Science/Lab,New Build (Greenfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Other,Lightweight/SFS,79698,93060,97311,81184,332.1,387.7,405.5,338.3,7000,0.075,283650,33500,0.36,0,0,0.0,8900,18951,0.204,2950,9157,0.098,15300,24451,0.263,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
239,Stage 4,SW3,711,3.0,Whole Building,Residential (Single),Full Refurb,3,No,Partial Footprint,Other,Suspended RC,Other,Other,61898,88689,95730,85747,87.1,124.7,134.6,120.6,21000,0.237,266471,34907,0.394,0,0,0.0,6298,13410,0.151,0,0,0.0,9621,15375,0.173,6261,2218,0.025,1816,1779,0.02,0,0,0,0,0,0,0,0,1,0
240,Stage 2,SE1,4663,13.0,Whole Building,Commercial,New Build (Brownfield),17,No,Full Footprint,Raft,Suspended RC,Concrete (In-Situ),Masonry/SFS,1299618,1497344,1553086,1260457,278.7,321.1,333.1,270.3,91000,0.061,4108366,617606,0.412,0,0,0.0,370416,788739,0.527,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
242,Stage 2,TW13,460,1.6,Whole Building,Residential (Multi),New Build (Brownfield),6,No,None,Piles (Pile Caps),Ground Bearing RC,Concrete (In-Situ),Masonry Only,200530,230253,241893,203240,435.9,500.5,525.9,441.8,11200,0.049,922462,114016,0.495,0,0,0.0,38569,82127,0.357,5017,15574,0.068,4590,7336,0.032,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
243,Stage 3,OX11,1600,3.5,Whole Building,Science/Lab,New Build (Brownfield),2,No,None,Raft,Raft,Steel Frame/Composite,Lightweight/SFS,452823,510053,531104,427891,283.0,318.8,331.9,267.4,24500,0.048,1198000,144773,0.284,0,0,0.0,70000,149053,0.292,10700,33215,0.065,99000,158213,0.31,600,298,0.001,0,0,0.0,0,0,0,0,0,0,0,0,0,1
246,Stage 2,SE17,5200,9.8,Whole Building,Residential (Multi),New Build (Brownfield),6,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,1366692,1555026,1632381,1369274,262.8,299.0,313.9,263.3,68600,0.044,5804455,777259,0.5,0,0,0.0,333046,709167,0.456,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
250,Stage 2,SE17,5221,13.3,Whole Building,Residential (Multi),New Build (Brownfield),11,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,1462990,1684170,1765623,1482921,280.2,322.6,338.2,284.0,93100,0.055,6191482,829085,0.492,0,0,0.0,357852,761985,0.452,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
251,Stage 2,SE17,6600,8.0,Structure Only,Residential (Multi),New Build (Brownfield),6,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Lightweight/SFS,1399301,1636742,1725863,1489601,212.0,248.0,261.5,225.7,112000,0.068,6630946,887933,0.542,0,0,0.0,299065,636810,0.389,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
253,Stage 5,TS23,1577,4.0,Whole Building,Industrial,New Build (Brownfield),3,No,None,Piles (Pile Caps),Ground Bearing RC,Steel Frame/Composite,Lightweight Only,332950,385296,405094,366045,211.1,244.3,256.9,232.1,28000,0.073,1411296,194070,0.504,0,0,0.0,5341,11373,0.03,3823,11867,0.031,87595,139987,0.363,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0
254,Stage 3,BN1,1297,3.75,Whole Building,Mixed Use,Mixed New Build/Refurb,4,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Timber,Masonry Only,247925,285337,294878,243023,191.2,220.0,227.4,187.4,26250,0.092,260293,34871,0.122,0,0,0.0,12000,25552,0.09,0,0,0.0,124000,198166,0.694,1000,497,0.002,0,0,0.0,0,0,0,0,0,1,0,0,0,0
255,Stage 5,SW18,21,0.035,Structure Only,Residential (Single),Mixed New Build/Refurb,1,No,Full Footprint,Corbels,Timber,Other,Masonry Only,2387,3124,3381,3250,113.7,148.7,161.0,154.8,490,0.157,18418,2280,0.73,0,0,0.0,166,353,0.113,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
256,Stage 3,N1,51,0.1,Whole Building,Residential (Single),Mixed New Build/Refurb,1,No,None,Other,Other,Steel Frame/Timber,Lightweight Only,3156,4281,4849,3965,61.9,83.9,95.1,77.8,700,0.164,100,14,0.003,0,0,0.0,0,0,0.0,0,0,0.0,1478,2363,0.552,847,300,0.07,923,904,0.211,0,0,0,0,0,0,0,0,1,0
257,Stage 5,NW6,37,0.1,Whole Building,Residential (Single),New Build (Greenfield),1,No,None,Reinforced Pads/Strips,Ground Bearing RC,Steel Frame/Timber,Glazed/Curtain Wall,5789,6961,7422,6530,156.5,188.1,200.6,176.5,700,0.101,22937,2808,0.403,0,0,0.0,374,796,0.114,0,0,0.0,1573,2514,0.361,287,143,0.02,0,0,0.0,0,0,0,0,0,0,0,0,1,0
258,Stage 2,W6,9453,20.0,Whole Building,Residential (Multi),New Build (Brownfield),9,No,Full Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,3190782,3611823,3780282,3266506,337.5,382.1,399.9,345.6,140000,0.039,14550936,2087011,0.578,0,0,0.0,650350,1384812,0.383,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
259,Stage 3,NW3,212,0.4,Whole Building,Residential (Single),Mixed New Build/Refurb,3,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Timber,Masonry Only,9784,13553,15019,13264,46.2,63.9,70.8,62.6,2800,0.207,37422,3840,0.283,0,0,0.0,636,1354,0.1,0,0,0.0,2923,4671,0.345,596,296,0.022,604,592,0.044,0,0,0,0,0,0,0,0,1,0
260,Stage 3,OX4,75,1.1,Whole Building,Educational,Mixed New Build/Refurb,2,No,None,Piled Ground Beams,Suspended RC,Steel Frame/Timber,Timber Only,34199,50305,58315,46726,456.0,670.7,777.5,623.0,7700,0.153,54493,7297,0.145,0,0,0.0,2535,5398,0.107,0,0,0.0,9540,15246,0.303,29500,14664,0.292,0,0,0.0,0,0,1,0,0,0,0,0,0,0
262,Stage 3,TW8,240,1.0,Whole Building,Mixed Use,New Build (Brownfield),1,Yes,None,Piled Ground Beams,Suspended RC,Steel Frame/Timber,Other,199716,227523,242805,217304,832.1,948.0,1011.7,905.4,7000,0.031,1257960,141573,0.622,0,0,0.0,22106,47071,0.207,0,0,0.0,14469,23124,0.102,0,0,0.0,14501,8755,0.038,0,0,0,0,0,1,0,0,0,0
263,Stage 4,DE24,1000,1.6,Whole Building,Industrial,New Build (Brownfield),3,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Other,Lightweight Only,209727,238681,252962,226803,209.7,238.7,253.0,226.8,11200,0.047,961363,128734,0.539,0,0,0.0,1552,3305,0.014,6307,19578,0.082,46141,73739,0.309,4274,2125,0.009,0,0,0.0,0,0,0,0,1,0,0,0,0,0
264,Stage 3,CB2,750,4.5,Whole Building,Educational,New Build (Brownfield),3,No,None,Reinforced Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Timber/SFS,92151,144058,154340,125723,122.9,192.1,205.8,167.6,31500,0.219,259894,31098,0.216,0,0,0.0,10393,22130,0.154,0,0,0.0,268,428,0.003,212,105,0.001,94281,58796,0.408,0,0,1,0,0,0,0,0,0,0
265,Stage 5,RG20,195,0.5,Whole Building,Commercial,Mixed New Build/Refurb,1,No,None,Reinforced Pads/Strips,Other,Steel Frame/Timber,Masonry Only,37018,43283,46172,41976,189.8,222.0,236.8,215.3,3500,0.081,160965,21554,0.498,0,0,0.0,3,7,0.0,0,0,0.0,10900,17419,0.402,2268,803,0.019,0,0,0.0,1,0,0,0,0,0,0,0,0,0
266,Stage 3,OX49,175,0.5,Whole Building,Residential (Single),New Build (Greenfield),2,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Timber Only,60563,70649,77194,63355,346.1,403.7,441.1,362.0,3500,0.05,231140,30951,0.438,0,0,0.0,8015,17067,0.242,2420,7512,0.106,3630,5801,0.082,14319,5072,0.072,0,0,0.0,0,0,0,0,0,0,0,0,1,0
267,Stage 2,OX2,1416,13.0,Whole Building,Educational,New Build (Brownfield),6,Yes,Full Footprint,Piles (Pile Caps),Ground Bearing RC,Timber Frame (Glulam/CLT),Masonry Only,232317,371450,386369,312176,164.1,262.3,272.9,220.5,91000,0.245,559371,71553,0.193,0,0,0.0,28896,61529,0.166,1000,4729,0.013,5796,9263,0.025,0,0,0.0,220902,133376,0.359,0,0,1,0,0,0,0,0,0,0
268,Stage 3,PE21,3037,17.5,Whole Building,Healthcare,New Build (Brownfield),2,No,None,Piles (Pile Caps),Ground Bearing RC,Concrete (Precast),Masonry/SFS,799374,985558,1027869,878153,263.2,324.5,338.4,289.2,122500,0.124,2993766,400789,0.407,0,0,0.0,143307,305148,0.31,4663,14475,0.015,89259,142646,0.145,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
269,Stage 3,CV11,272,3.2,Whole Building,Cultural/Public,New Build (Brownfield),1,No,None,Piled Ground Beams,Suspended RC,Other,Other,154521,190597,199719,176658,568.1,700.7,734.3,649.5,22400,0.118,785280,100533,0.527,0,0,0.0,25650,54617,0.287,33,102,0.001,8100,12945,0.068,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
270,Stage 3,GU22,328,2.5,Whole Building,Educational,Mixed New Build/Refurb,3,No,None,Mass Pads/Strips,Suspended Precast,Timber Frame (Glulam/CLT),Masonry/SFS,56111,87974,95808,90219,171.1,268.2,292.1,275.1,17500,0.199,269736,39311,0.447,0,0,0.0,564,1201,0.014,0,0,0.0,886,1415,0.016,0,0,0.0,40373,28547,0.324,0,0,1,0,0,0,0,0,0,0
271,Stage 2,HP1,3039,7.6,Whole Building,Educational,New Build (Greenfield),3,No,None,Mass Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Masonry Only,368464,512823,556718,455951,121.2,168.7,183.2,150.0,53200,0.104,1434410,168039,0.328,0,0,0.0,6499,13838,0.027,0,0,0.0,6150,9829,0.019,3969,1973,0.004,431110,265944,0.519,0,0,1,0,0,0,0,0,0,0
272,Stage 2,KT13,23,0.3,Whole Building,Residential (Single),New Build (Greenfield),1,No,None,Other,Suspended RC,Steel Frame/Timber,Timber/SFS,5055,7604,7939,6886,219.8,330.6,345.2,299.4,2100,0.276,12420,1663,0.219,0,0,0.0,621,1322,0.174,0,0,0.0,1322,2113,0.278,225,112,0.015,300,294,0.039,0,0,0,0,0,0,0,0,1,0
273,Stage 2,SE15,2994,7.5,Whole Building,Residential (Multi),New Build (Greenfield),7,No,None,Piles (Pile Caps),Ground Bearing RC,Concrete (In-Situ),Masonry Only,637460,745603,783426,660004,212.9,249.0,261.7,220.4,52500,0.07,2682995,359273,0.482,0,0,0.0,155495,331101,0.444,0,0,0.0,1708,2730,0.004,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
274,Stage 2,SE15,3146,8.0,Whole Building,Residential (Multi),New Build (Greenfield),6,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/Stone,786221,910766,955134,799874,249.9,289.5,303.6,254.3,56000,0.061,3258101,436284,0.479,0,0,0.0,196532,418482,0.459,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
275,Stage 2,SE15,4940,8.0,Whole Building,Residential (Multi),New Build (Greenfield),5,No,None,Piles (Pile Caps),Ground Bearing RC,Concrete (In-Situ),Masonry/Stone,1731479,1938806,2030487,1692893,350.5,392.5,411.0,342.7,56000,0.029,7265239,972869,0.502,0,0,0.0,427334,909936,0.469,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
